Nov  4 22:27:00 gpu-225 kernel: [   32.895863] irq_time: 32895861313,32895888384
Nov  4 22:27:00 gpu-225 kernel: [   32.931423] 32931421001
Nov  4 22:27:00 gpu-225 kernel: [   32.938298] 32938296290
Nov  4 22:27:00 gpu-225 kernel: [   32.938985] 32938983100
Nov  4 22:27:00 gpu-225 kernel: [   32.943200] 32943198104
Nov  4 22:27:00 gpu-225 kernel: [   32.954193] 32954191587
Nov  4 22:27:00 gpu-225 kernel: [   33.051660] irq_time: 33051657992,33051679446
Nov  4 22:27:00 gpu-225 kernel: [   33.054186] irq_time: 33054184089,33054203830
Nov  4 22:27:00 gpu-225 kernel: [   33.058510] irq_time: 33058508629,33058528343
Nov  4 22:27:00 gpu-225 kernel: [   33.074423] irq_time: 33074421971,33074441737
Nov  4 22:27:00 gpu-225 kernel: [   33.096034] irq_time: 33096032558,33096053278
Nov  4 22:27:00 gpu-225 kernel: [   33.139168] 33139166017
Nov  4 22:27:00 gpu-225 kernel: [   33.296192] irq_time: 33296191585,33296203452
Nov  4 22:27:00 gpu-225 kernel: [   33.339364] 33339362474
Nov  4 22:27:00 gpu-225 kernel: [   33.496335] irq_time: 33496333243,33496357455
Nov  4 22:27:00 gpu-225 kernel: [   33.539558] 33539556557
Nov  4 22:27:01 gpu-225 kernel: [   33.696501] irq_time: 33696499553,33696520275
Nov  4 22:27:01 gpu-225 kernel: [   33.739719] 33739718153
Nov  4 22:27:01 gpu-225 kernel: [   33.896664] irq_time: 33896662331,33896694441
Nov  4 22:27:01 gpu-225 kernel: [   33.931945] 33931943798
Nov  4 22:27:01 gpu-225 kernel: [   33.938816] 33938814105
Nov  4 22:27:01 gpu-225 kernel: [   33.939889] 33939887247
Nov  4 22:27:01 gpu-225 kernel: [   33.943736] 33943734067
Nov  4 22:27:01 gpu-225 kernel: [   34.052162] irq_time: 34052159933,34052179591
Nov  4 22:27:01 gpu-225 kernel: [   34.054683] irq_time: 34054681757,34054701476
Nov  4 22:27:01 gpu-225 kernel: [   34.058983] irq_time: 34058982748,34058992155
Nov  4 22:27:01 gpu-225 kernel: [   34.059389] irq_time: 34059388492,34059397903
Nov  4 22:27:01 gpu-225 kernel: [   34.070965] irq_time: 34070964962,34070974723
Nov  4 22:27:01 gpu-225 kernel: [   34.074568] irq_time: 34074567365,34074577009
Nov  4 22:27:01 gpu-225 kernel: [   34.074594] irq_time: 34074594447,34074599244
Nov  4 22:27:01 gpu-225 kernel: [   34.074651] irq_time: 34074651098,34074655610
Nov  4 22:27:01 gpu-225 kernel: [   34.074943] irq_time: 34074943030,34074952675
Nov  4 22:27:01 gpu-225 kernel: [   34.096844] irq_time: 34096842009,34096861838
Nov  4 22:27:01 gpu-225 kernel: [   34.140070] 34140068715
Nov  4 22:27:01 gpu-225 kernel: [   34.297003] irq_time: 34297001222,34297021149
Nov  4 22:27:01 gpu-225 kernel: [   34.340240] 34340239376
Nov  4 22:27:01 gpu-225 kernel: [   34.497158] irq_time: 34497156389,34497177065
Nov  4 22:27:01 gpu-225 kernel: [   34.540407] 34540405170
Nov  4 22:27:02 gpu-225 kernel: [   34.697319] irq_time: 34697317472,34697337284
Nov  4 22:27:02 gpu-225 kernel: [   34.740589] 34740587807
Nov  4 22:27:02 gpu-225 kernel: [   34.897480] irq_time: 34897478322,34897497885
Nov  4 22:27:02 gpu-225 kernel: [   34.932478] 34932476379
Nov  4 22:27:02 gpu-225 kernel: [   34.939296] 34939295974
Nov  4 22:27:02 gpu-225 kernel: [   34.940772] 34940769967
